model,condition,target,predicted,count
mlx-community/Mistral-7B-Instruct-v0.3-4bit,commit_then_review,ELIGIBLE,ELIGIBLE,48
mlx-community/Mistral-7B-Instruct-v0.3-4bit,commit_then_review,HUMAN_REVIEW,ELIGIBLE,38
mlx-community/Mistral-7B-Instruct-v0.3-4bit,commit_then_review,HUMAN_REVIEW,HUMAN_REVIEW,9
mlx-community/Mistral-7B-Instruct-v0.3-4bit,commit_then_review,HUMAN_REVIEW,INELIGIBLE,1
mlx-community/Mistral-7B-Instruct-v0.3-4bit,commit_then_review,INELIGIBLE,ELIGIBLE,46
mlx-community/Mistral-7B-Instruct-v0.3-4bit,commit_then_review,INELIGIBLE,INELIGIBLE,1
mlx-community/Mistral-7B-Instruct-v0.3-4bit,commit_then_review,INELIGIBLE,NEED_INFORMATION,1
mlx-community/Mistral-7B-Instruct-v0.3-4bit,commit_then_review,NEED_INFORMATION,ELIGIBLE,48
mlx-community/Mistral-7B-Instruct-v0.3-4bit,evidence_checklist,ELIGIBLE,ELIGIBLE,48
mlx-community/Mistral-7B-Instruct-v0.3-4bit,evidence_checklist,HUMAN_REVIEW,ELIGIBLE,48
mlx-community/Mistral-7B-Instruct-v0.3-4bit,evidence_checklist,INELIGIBLE,ELIGIBLE,27
mlx-community/Mistral-7B-Instruct-v0.3-4bit,evidence_checklist,INELIGIBLE,INELIGIBLE,5
mlx-community/Mistral-7B-Instruct-v0.3-4bit,evidence_checklist,INELIGIBLE,NEED_INFORMATION,16
mlx-community/Mistral-7B-Instruct-v0.3-4bit,evidence_checklist,NEED_INFORMATION,ELIGIBLE,27
mlx-community/Mistral-7B-Instruct-v0.3-4bit,evidence_checklist,NEED_INFORMATION,NEED_INFORMATION,21
mlx-community/Mistral-7B-Instruct-v0.3-4bit,independent_review,ELIGIBLE,ELIGIBLE,35
mlx-community/Mistral-7B-Instruct-v0.3-4bit,independent_review,ELIGIBLE,NEED_INFORMATION,13
mlx-community/Mistral-7B-Instruct-v0.3-4bit,independent_review,HUMAN_REVIEW,ELIGIBLE,18
mlx-community/Mistral-7B-Instruct-v0.3-4bit,independent_review,HUMAN_REVIEW,NEED_INFORMATION,30
mlx-community/Mistral-7B-Instruct-v0.3-4bit,independent_review,INELIGIBLE,INELIGIBLE,2
mlx-community/Mistral-7B-Instruct-v0.3-4bit,independent_review,INELIGIBLE,NEED_INFORMATION,46
mlx-community/Mistral-7B-Instruct-v0.3-4bit,independent_review,NEED_INFORMATION,NEED_INFORMATION,48
mlx-community/Mistral-7B-Instruct-v0.3-4bit,prior_rationale,ELIGIBLE,ELIGIBLE,48
mlx-community/Mistral-7B-Instruct-v0.3-4bit,prior_rationale,HUMAN_REVIEW,ELIGIBLE,35
mlx-community/Mistral-7B-Instruct-v0.3-4bit,prior_rationale,HUMAN_REVIEW,NEED_INFORMATION,13
mlx-community/Mistral-7B-Instruct-v0.3-4bit,prior_rationale,INELIGIBLE,ELIGIBLE,24
mlx-community/Mistral-7B-Instruct-v0.3-4bit,prior_rationale,INELIGIBLE,INELIGIBLE,1
mlx-community/Mistral-7B-Instruct-v0.3-4bit,prior_rationale,INELIGIBLE,NEED_INFORMATION,23
mlx-community/Mistral-7B-Instruct-v0.3-4bit,prior_rationale,NEED_INFORMATION,ELIGIBLE,24
mlx-community/Mistral-7B-Instruct-v0.3-4bit,prior_rationale,NEED_INFORMATION,NEED_INFORMATION,24
mlx-community/Phi-4-mini-instruct-mlx-4Bit,commit_then_review,ELIGIBLE,ELIGIBLE,24
mlx-community/Phi-4-mini-instruct-mlx-4Bit,commit_then_review,ELIGIBLE,HUMAN_REVIEW,1
mlx-community/Phi-4-mini-instruct-mlx-4Bit,commit_then_review,ELIGIBLE,NEED_INFORMATION,23
mlx-community/Phi-4-mini-instruct-mlx-4Bit,commit_then_review,HUMAN_REVIEW,HUMAN_REVIEW,22
mlx-community/Phi-4-mini-instruct-mlx-4Bit,commit_then_review,HUMAN_REVIEW,NEED_INFORMATION,26
