model,case_id,condition,evidence_state,policy_first_disposition,record_first_disposition,policy_first_correct,record_first_correct
mlx-community/Mistral-7B-Instruct-v0.3-4bit,accessible_transport-conflict-1,independent_review,conflict,NEED_INFORMATION,ELIGIBLE,False,False
mlx-community/Mistral-7B-Instruct-v0.3-4bit,accessible_transport-conflict-1,prior_rationale,conflict,NEED_INFORMATION,ELIGIBLE,False,False
mlx-community/Mistral-7B-Instruct-v0.3-4bit,accessible_transport-conflict-2,commit_then_review,conflict,INELIGIBLE,ELIGIBLE,False,False
mlx-community/Mistral-7B-Instruct-v0.3-4bit,accessible_transport-conflict-2,independent_review,conflict,NEED_INFORMATION,ELIGIBLE,False,False
mlx-community/Mistral-7B-Instruct-v0.3-4bit,accessible_transport-conflict-2,prior_rationale,conflict,NEED_INFORMATION,ELIGIBLE,False,False
mlx-community/Mistral-7B-Instruct-v0.3-4bit,accessible_transport-conflict-3,independent_review,conflict,NEED_INFORMATION,ELIGIBLE,False,False
mlx-community/Mistral-7B-Instruct-v0.3-4bit,accessible_transport-conflict-3,prior_rationale,conflict,NEED_INFORMATION,ELIGIBLE,False,False
mlx-community/Mistral-7B-Instruct-v0.3-4bit,accessible_transport-incomplete-1,evidence_checklist,incomplete,NEED_INFORMATION,ELIGIBLE,True,False
mlx-community/Mistral-7B-Instruct-v0.3-4bit,accessible_transport-incomplete-1,prior_rationale,incomplete,NEED_INFORMATION,ELIGIBLE,True,False
mlx-community/Mistral-7B-Instruct-v0.3-4bit,accessible_transport-incomplete-2,evidence_checklist,incomplete,NEED_INFORMATION,ELIGIBLE,True,False
mlx-community/Mistral-7B-Instruct-v0.3-4bit,accessible_transport-incomplete-2,prior_rationale,incomplete,NEED_INFORMATION,ELIGIBLE,True,False
mlx-community/Mistral-7B-Instruct-v0.3-4bit,accessible_transport-incomplete-3,evidence_checklist,incomplete,NEED_INFORMATION,ELIGIBLE,True,False
mlx-community/Mistral-7B-Instruct-v0.3-4bit,accessible_transport-incomplete-3,prior_rationale,incomplete,NEED_INFORMATION,ELIGIBLE,True,False
mlx-community/Mistral-7B-Instruct-v0.3-4bit,accessible_transport-invalid-1,evidence_checklist,invalid,NEED_INFORMATION,ELIGIBLE,False,False
mlx-community/Mistral-7B-Instruct-v0.3-4bit,accessible_transport-invalid-1,prior_rationale,invalid,NEED_INFORMATION,ELIGIBLE,False,False
mlx-community/Mistral-7B-Instruct-v0.3-4bit,accessible_transport-invalid-2,evidence_checklist,invalid,NEED_INFORMATION,ELIGIBLE,False,False
mlx-community/Mistral-7B-Instruct-v0.3-4bit,accessible_transport-invalid-2,prior_rationale,invalid,NEED_INFORMATION,ELIGIBLE,False,False
mlx-community/Mistral-7B-Instruct-v0.3-4bit,accessible_transport-invalid-3,evidence_checklist,invalid,NEED_INFORMATION,ELIGIBLE,False,False
mlx-community/Mistral-7B-Instruct-v0.3-4bit,accessible_transport-invalid-3,prior_rationale,invalid,NEED_INFORMATION,ELIGIBLE,False,False
mlx-community/Mistral-7B-Instruct-v0.3-4bit,complaint_callback-conflict-1,commit_then_review,conflict,HUMAN_REVIEW,ELIGIBLE,True,False
mlx-community/Mistral-7B-Instruct-v0.3-4bit,complaint_callback-conflict-1,prior_rationale,conflict,NEED_INFORMATION,ELIGIBLE,False,False
mlx-community/Mistral-7B-Instruct-v0.3-4bit,complaint_callback-conflict-2,commit_then_review,conflict,HUMAN_REVIEW,ELIGIBLE,True,False
mlx-community/Mistral-7B-Instruct-v0.3-4bit,complaint_callback-conflict-3,commit_then_review,conflict,HUMAN_REVIEW,ELIGIBLE,True,False
mlx-community/Mistral-7B-Instruct-v0.3-4bit,complaint_callback-incomplete-1,prior_rationale,incomplete,NEED_INFORMATION,ELIGIBLE,True,False
mlx-community/Mistral-7B-Instruct-v0.3-4bit,complaint_callback-incomplete-2,prior_rationale,incomplete,NEED_INFORMATION,ELIGIBLE,True,False
mlx-community/Mistral-7B-Instruct-v0.3-4bit,complaint_callback-incomplete-3,prior_rationale,incomplete,NEED_INFORMATION,ELIGIBLE,True,False
mlx-community/Mistral-7B-Instruct-v0.3-4bit,complaint_callback-invalid-1,prior_rationale,invalid,NEED_INFORMATION,ELIGIBLE,False,False
