model,case_id,variant_id,evidence_state,surface_form,comparison,independent_disposition,comparison_disposition,independent_correct,comparison_correct,change_kind
mlx-community/Mistral-7B-Instruct-v0.3-4bit,accessible_transport-conflict-1,accessible_transport-conflict-1--policy_first,conflict,policy_first,evidence_checklist,NEED_INFORMATION,ELIGIBLE,False,False,different_same_correctness
mlx-community/Mistral-7B-Instruct-v0.3-4bit,accessible_transport-conflict-1,accessible_transport-conflict-1--policy_first,conflict,policy_first,commit_then_review,NEED_INFORMATION,ELIGIBLE,False,False,different_same_correctness
mlx-community/Mistral-7B-Instruct-v0.3-4bit,accessible_transport-conflict-2,accessible_transport-conflict-2--policy_first,conflict,policy_first,evidence_checklist,NEED_INFORMATION,ELIGIBLE,False,False,different_same_correctness
mlx-community/Mistral-7B-Instruct-v0.3-4bit,accessible_transport-conflict-2,accessible_transport-conflict-2--policy_first,conflict,policy_first,commit_then_review,NEED_INFORMATION,INELIGIBLE,False,False,different_same_correctness
mlx-community/Mistral-7B-Instruct-v0.3-4bit,accessible_transport-conflict-3,accessible_transport-conflict-3--policy_first,conflict,policy_first,evidence_checklist,NEED_INFORMATION,ELIGIBLE,False,False,different_same_correctness
mlx-community/Mistral-7B-Instruct-v0.3-4bit,accessible_transport-conflict-3,accessible_transport-conflict-3--policy_first,conflict,policy_first,commit_then_review,NEED_INFORMATION,ELIGIBLE,False,False,different_same_correctness
mlx-community/Mistral-7B-Instruct-v0.3-4bit,accessible_transport-incomplete-1,accessible_transport-incomplete-1--policy_first,incomplete,policy_first,commit_then_review,NEED_INFORMATION,ELIGIBLE,True,False,harmful
mlx-community/Mistral-7B-Instruct-v0.3-4bit,accessible_transport-incomplete-1,accessible_transport-incomplete-1--record_first,incomplete,record_first,prior_rationale,NEED_INFORMATION,ELIGIBLE,True,False,harmful
mlx-community/Mistral-7B-Instruct-v0.3-4bit,accessible_transport-incomplete-1,accessible_transport-incomplete-1--record_first,incomplete,record_first,evidence_checklist,NEED_INFORMATION,ELIGIBLE,True,False,harmful
mlx-community/Mistral-7B-Instruct-v0.3-4bit,accessible_transport-incomplete-1,accessible_transport-incomplete-1--record_first,incomplete,record_first,commit_then_review,NEED_INFORMATION,ELIGIBLE,True,False,harmful
mlx-community/Mistral-7B-Instruct-v0.3-4bit,accessible_transport-incomplete-2,accessible_transport-incomplete-2--policy_first,incomplete,policy_first,commit_then_review,NEED_INFORMATION,ELIGIBLE,True,False,harmful
mlx-community/Mistral-7B-Instruct-v0.3-4bit,accessible_transport-incomplete-2,accessible_transport-incomplete-2--record_first,incomplete,record_first,prior_rationale,NEED_INFORMATION,ELIGIBLE,True,False,harmful
mlx-community/Mistral-7B-Instruct-v0.3-4bit,accessible_transport-incomplete-2,accessible_transport-incomplete-2--record_first,incomplete,record_first,evidence_checklist,NEED_INFORMATION,ELIGIBLE,True,False,harmful
mlx-community/Mistral-7B-Instruct-v0.3-4bit,accessible_transport-incomplete-2,accessible_transport-incomplete-2--record_first,incomplete,record_first,commit_then_review,NEED_INFORMATION,ELIGIBLE,True,False,harmful
mlx-community/Mistral-7B-Instruct-v0.3-4bit,accessible_transport-incomplete-3,accessible_transport-incomplete-3--policy_first,incomplete,policy_first,commit_then_review,NEED_INFORMATION,ELIGIBLE,True,False,harmful
mlx-community/Mistral-7B-Instruct-v0.3-4bit,accessible_transport-incomplete-3,accessible_transport-incomplete-3--record_first,incomplete,record_first,prior_rationale,NEED_INFORMATION,ELIGIBLE,True,False,harmful
mlx-community/Mistral-7B-Instruct-v0.3-4bit,accessible_transport-incomplete-3,accessible_transport-incomplete-3--record_first,incomplete,record_first,evidence_checklist,NEED_INFORMATION,ELIGIBLE,True,False,harmful
mlx-community/Mistral-7B-Instruct-v0.3-4bit,accessible_transport-incomplete-3,accessible_transport-incomplete-3--record_first,incomplete,record_first,commit_then_review,NEED_INFORMATION,ELIGIBLE,True,False,harmful
mlx-community/Mistral-7B-Instruct-v0.3-4bit,accessible_transport-invalid-1,accessible_transport-invalid-1--policy_first,invalid,policy_first,commit_then_review,NEED_INFORMATION,ELIGIBLE,False,False,different_same_correctness
mlx-community/Mistral-7B-Instruct-v0.3-4bit,accessible_transport-invalid-1,accessible_transport-invalid-1--record_first,invalid,record_first,prior_rationale,NEED_INFORMATION,ELIGIBLE,False,False,different_same_correctness
mlx-community/Mistral-7B-Instruct-v0.3-4bit,accessible_transport-invalid-1,accessible_transport-invalid-1--record_first,invalid,record_first,evidence_checklist,NEED_INFORMATION,ELIGIBLE,False,False,different_same_correctness
mlx-community/Mistral-7B-Instruct-v0.3-4bit,accessible_transport-invalid-1,accessible_transport-invalid-1--record_first,invalid,record_first,commit_then_review,NEED_INFORMATION,ELIGIBLE,False,False,different_same_correctness
mlx-community/Mistral-7B-Instruct-v0.3-4bit,accessible_transport-invalid-2,accessible_transport-invalid-2--policy_first,invalid,policy_first,commit_then_review,NEED_INFORMATION,ELIGIBLE,False,False,different_same_correctness
mlx-community/Mistral-7B-Instruct-v0.3-4bit,accessible_transport-invalid-2,accessible_transport-invalid-2--record_first,invalid,record_first,prior_rationale,NEED_INFORMATION,ELIGIBLE,False,False,different_same_correctness
mlx-community/Mistral-7B-Instruct-v0.3-4bit,accessible_transport-invalid-2,accessible_transport-invalid-2--record_first,invalid,record_first,evidence_checklist,NEED_INFORMATION,ELIGIBLE,False,False,different_same_correctness
mlx-community/Mistral-7B-Instruct-v0.3-4bit,accessible_transport-invalid-2,accessible_transport-invalid-2--record_first,invalid,record_first,commit_then_review,NEED_INFORMATION,ELIGIBLE,False,False,different_same_correctness
mlx-community/Mistral-7B-Instruct-v0.3-4bit,accessible_transport-invalid-3,accessible_transport-invalid-3--policy_first,invalid,policy_first,commit_then_review,NEED_INFORMATION,ELIGIBLE,False,False,different_same_correctness
mlx-community/Mistral-7B-Instruct-v0.3-4bit,accessible_transport-invalid-3,accessible_transport-invalid-3--record_first,invalid,record_first,prior_rationale,NEED_INFORMATION,ELIGIBLE,False,False,different_same_correctness
mlx-community/Mistral-7B-Instruct-v0.3-4bit,accessible_transport-invalid-3,accessible_transport-invalid-3--record_first,invalid,record_first,evidence_checklist,NEED_INFORMATION,ELIGIBLE,False,False,different_same_correctness
mlx-community/Mistral-7B-Instruct-v0.3-4bit,accessible_transport-invalid-3,accessible_transport-invalid-3--record_first,invalid,record_first,commit_then_review,NEED_INFORMATION,ELIGIBLE,False,False,different_same_correctness
mlx-community/Mistral-7B-Instruct-v0.3-4bit,complaint_callback-conflict-1,complaint_callback-conflict-1--policy_first,conflict,policy_first,evidence_checklist,NEED_INFORMATION,ELIGIBLE,False,False,different_same_correctness
mlx-community/Mistral-7B-Instruct-v0.3-4bit,complaint_callback-conflict-1,complaint_callback-conflict-1--policy_first,conflict,policy_first,commit_then_review,NEED_INFORMATION,HUMAN_REVIEW,False,True,corrective
mlx-community/Mistral-7B-Instruct-v0.3-4bit,complaint_callback-conflict-1,complaint_callback-conflict-1--record_first,conflict,record_first,prior_rationale,NEED_INFORMATION,ELIGIBLE,False,False,different_same_correctness
mlx-community/Mistral-7B-Instruct-v0.3-4bit,complaint_callback-conflict-1,complaint_callback-conflict-1--record_first,conflict,record_first,evidence_checklist,NEED_INFORMATION,ELIGIBLE,False,False,different_same_correctness
mlx-community/Mistral-7B-Instruct-v0.3-4bit,complaint_callback-conflict-1,complaint_callback-conflict-1--record_first,conflict,record_first,commit_then_review,NEED_INFORMATION,ELIGIBLE,False,False,different_same_correctness
mlx-community/Mistral-7B-Instruct-v0.3-4bit,complaint_callback-conflict-2,complaint_callback-conflict-2--policy_first,conflict,policy_first,prior_rationale,NEED_INFORMATION,ELIGIBLE,False,False,different_same_correctness
mlx-community/Mistral-7B-Instruct-v0.3-4bit,complaint_callback-conflict-2,complaint_callback-conflict-2--policy_first,conflict,policy_first,evidence_checklist,NEED_INFORMATION,ELIGIBLE,False,False,different_same_correctness
mlx-community/Mistral-7B-Instruct-v0.3-4bit,complaint_callback-conflict-2,complaint_callback-conflict-2--policy_first,conflict,policy_first,commit_then_review,NEED_INFORMATION,HUMAN_REVIEW,False,True,corrective
mlx-community/Mistral-7B-Instruct-v0.3-4bit,complaint_callback-conflict-2,complaint_callback-conflict-2--record_first,conflict,record_first,prior_rationale,NEED_INFORMATION,ELIGIBLE,False,False,different_same_correctness
mlx-community/Mistral-7B-Instruct-v0.3-4bit,complaint_callback-conflict-2,complaint_callback-conflict-2--record_first,conflict,record_first,evidence_checklist,NEED_INFORMATION,ELIGIBLE,False,False,different_same_correctness
mlx-community/Mistral-7B-Instruct-v0.3-4bit,complaint_callback-conflict-2,complaint_callback-conflict-2--record_first,conflict,record_first,commit_then_review,NEED_INFORMATION,ELIGIBLE,False,False,different_same_correctness
mlx-community/Mistral-7B-Instruct-v0.3-4bit,complaint_callback-conflict-3,complaint_callback-conflict-3--policy_first,conflict,policy_first,prior_rationale,NEED_INFORMATION,ELIGIBLE,False,False,different_same_correctness
mlx-community/Mistral-7B-Instruct-v0.3-4bit,complaint_callback-conflict-3,complaint_callback-conflict-3--policy_first,conflict,policy_first,evidence_checklist,NEED_INFORMATION,ELIGIBLE,False,False,different_same_correctness
mlx-community/Mistral-7B-Instruct-v0.3-4bit,complaint_callback-conflict-3,complaint_callback-conflict-3--policy_first,conflict,policy_first,commit_then_review,NEED_INFORMATION,HUMAN_REVIEW,False,True,corrective
mlx-community/Mistral-7B-Instruct-v0.3-4bit,complaint_callback-conflict-3,complaint_callback-conflict-3--record_first,conflict,record_first,prior_rationale,NEED_INFORMATION,ELIGIBLE,False,False,different_same_correctness
mlx-community/Mistral-7B-Instruct-v0.3-4bit,complaint_callback-conflict-3,complaint_callback-conflict-3--record_first,conflict,record_first,evidence_checklist,NEED_INFORMATION,ELIGIBLE,False,False,different_same_correctness
mlx-community/Mistral-7B-Instruct-v0.3-4bit,complaint_callback-conflict-3,complaint_callback-conflict-3--record_first,conflict,record_first,commit_then_review,NEED_INFORMATION,ELIGIBLE,False,False,different_same_correctness
mlx-community/Mistral-7B-Instruct-v0.3-4bit,complaint_callback-incomplete-1,complaint_callback-incomplete-1--policy_first,incomplete,policy_first,evidence_checklist,NEED_INFORMATION,ELIGIBLE,True,False,harmful
mlx-community/Mistral-7B-Instruct-v0.3-4bit,complaint_callback-incomplete-1,complaint_callback-incomplete-1--policy_first,incomplete,policy_first,commit_then_review,NEED_INFORMATION,ELIGIBLE,True,False,harmful
mlx-community/Mistral-7B-Instruct-v0.3-4bit,complaint_callback-incomplete-1,complaint_callback-incomplete-1--record_first,incomplete,record_first,prior_rationale,NEED_INFORMATION,ELIGIBLE,True,False,harmful
mlx-community/Mistral-7B-Instruct-v0.3-4bit,complaint_callback-incomplete-1,complaint_callback-incomplete-1--record_first,incomplete,record_first,evidence_checklist,NEED_INFORMATION,ELIGIBLE,True,False,harmful
mlx-community/Mistral-7B-Instruct-v0.3-4bit,complaint_callback-incomplete-1,complaint_callback-incomplete-1--record_first,incomplete,record_first,commit_then_review,NEED_INFORMATION,ELIGIBLE,True,False,harmful
mlx-community/Mistral-7B-Instruct-v0.3-4bit,complaint_callback-incomplete-2,complaint_callback-incomplete-2--policy_first,incomplete,policy_first,evidence_checklist,NEED_INFORMATION,ELIGIBLE,True,False,harmful
mlx-community/Mistral-7B-Instruct-v0.3-4bit,complaint_callback-incomplete-2,complaint_callback-incomplete-2--policy_first,incomplete,policy_first,commit_then_review,NEED_INFORMATION,ELIGIBLE,True,False,harmful
