model,model_id,revision,case_id,variant_id,service_family,surface_form,evidence_state,target_disposition,condition,parser_mode,predicted_disposition,reply_characters,reply_words,unsupported_identifier_count,disposition_correct,clause_correct,evidence_correct,fully_grounded,schema_valid,strict_format,failure_to_correct,false_eligibility,appropriate_information_request,appropriate_human_review,changed_disposition,corrective_update,harmful_update,preliminary_correct
Qwen3-4B,mlx-community/Qwen3-4B-Instruct-2507-4bit,50d427756c6b1b2fe0c0a10f67fbda1fc8e82c1b,family_contact-valid-1,family_contact-valid-1--policy_first,family_contact,policy_first,valid,ELIGIBLE,independent_review,strict,ELIGIBLE,152,22,0,1,1,1,1,1,1,0,0,0,0,,,,
Qwen3-4B,mlx-community/Qwen3-4B-Instruct-2507-4bit,50d427756c6b1b2fe0c0a10f67fbda1fc8e82c1b,family_contact-valid-1,family_contact-valid-1--policy_first,family_contact,policy_first,valid,ELIGIBLE,prior_rationale,strict,ELIGIBLE,158,23,0,1,1,1,1,1,1,0,0,0,0,,,,
Qwen3-4B,mlx-community/Qwen3-4B-Instruct-2507-4bit,50d427756c6b1b2fe0c0a10f67fbda1fc8e82c1b,family_contact-valid-1,family_contact-valid-1--policy_first,family_contact,policy_first,valid,ELIGIBLE,evidence_checklist,strict,ELIGIBLE,159,24,0,1,1,1,1,1,1,0,0,0,0,,,,
Qwen3-4B,mlx-community/Qwen3-4B-Instruct-2507-4bit,50d427756c6b1b2fe0c0a10f67fbda1fc8e82c1b,family_contact-valid-1,family_contact-valid-1--policy_first,family_contact,policy_first,valid,ELIGIBLE,commit_then_review,strict,ELIGIBLE,152,22,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1
Qwen3-4B,mlx-community/Qwen3-4B-Instruct-2507-4bit,50d427756c6b1b2fe0c0a10f67fbda1fc8e82c1b,family_contact-valid-1,family_contact-valid-1--record_first,family_contact,record_first,valid,ELIGIBLE,independent_review,strict,ELIGIBLE,167,25,0,1,1,1,1,1,1,0,0,0,0,,,,
Qwen3-4B,mlx-community/Qwen3-4B-Instruct-2507-4bit,50d427756c6b1b2fe0c0a10f67fbda1fc8e82c1b,family_contact-valid-1,family_contact-valid-1--record_first,family_contact,record_first,valid,ELIGIBLE,prior_rationale,strict,ELIGIBLE,168,24,0,1,1,1,1,1,1,0,0,0,0,,,,
Qwen3-4B,mlx-community/Qwen3-4B-Instruct-2507-4bit,50d427756c6b1b2fe0c0a10f67fbda1fc8e82c1b,family_contact-valid-1,family_contact-valid-1--record_first,family_contact,record_first,valid,ELIGIBLE,evidence_checklist,strict,ELIGIBLE,149,23,0,1,1,1,1,1,1,0,0,0,0,,,,
Qwen3-4B,mlx-community/Qwen3-4B-Instruct-2507-4bit,50d427756c6b1b2fe0c0a10f67fbda1fc8e82c1b,family_contact-valid-1,family_contact-valid-1--record_first,family_contact,record_first,valid,ELIGIBLE,commit_then_review,strict,ELIGIBLE,167,25,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1
Qwen3-4B,mlx-community/Qwen3-4B-Instruct-2507-4bit,50d427756c6b1b2fe0c0a10f67fbda1fc8e82c1b,family_contact-valid-2,family_contact-valid-2--policy_first,family_contact,policy_first,valid,ELIGIBLE,independent_review,strict,ELIGIBLE,152,22,0,1,1,1,1,1,1,0,0,0,0,,,,
Qwen3-4B,mlx-community/Qwen3-4B-Instruct-2507-4bit,50d427756c6b1b2fe0c0a10f67fbda1fc8e82c1b,family_contact-valid-2,family_contact-valid-2--policy_first,family_contact,policy_first,valid,ELIGIBLE,prior_rationale,strict,ELIGIBLE,161,23,0,1,1,1,1,1,1,0,0,0,0,,,,
